Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
67,10,87.71,Café Flor Rosa,,$5.33/lb,"$9,165.50","Arab Coffee Co., Ltd",Martha Ojeda Mamani,1650,Bolivia,2008,"Colonia Loayza, Santa Fé County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Typica 80% Caturra 20% ,5.0,10.0,Bolivia
68,11,86.18,Café Montaña,,$5.90/lb,"$9,365.24",Solberg & Hansen AS,Félix Yana Mamani,1600,Bolivia,2008,"Colonia San Ignacio, Carrasco La Reserva County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Caturra 50% Criollo 50% ,2.5,5.0,Bolivia
69,12,86.03,Café Alejandra,,$5.87/lb,"$10,094.09","Johan & Nystrom, Coffee-roaster and Tea-merchant",Florencia Fernandez Choque,1650,Bolivia,2008,"Colonia Manco Kapac Segunda, Rosario Entre Rios County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Criollo 20% Caturra 80% ,2.5,8.0,Bolivia
70,13,85.85,AIPEAD V,,$4.15/lb,"$8,783.22","TOA Coffee Co.,Ltd.",Erenio Tola,1666,Bolivia,2008,"Colonia Amor de Dios, Taipyplaya County",Province of Caranavi,,,,"Centralized processing, selective harvest of ripe cherries, fermentation, washing with clean spring, ",Typica 70% Caturra 30% ,3.5,650.0,Bolivia
71,14,85.82,Café Oscar,,$5.05/lb,"$15,364.02","Nippon Coffee Trading Co.,Ltd for Doi Coffee",Nestor Mayta Quille,1382,Bolivia,2008,"Colonia Hernando de Magallanes, Rosario de Entre Rios County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Caturra 60% Criollo 40% ,5.0,11.0,Bolivia
72,15,85.82,Café de Montaña,,$5.03/lb,"$9,980.33",Sweet Maria’s Coffee,Manuel Mamani Uluri,1542,Bolivia,2008,"Colonia Chojñapampa, Carrasco La Reserva County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Caturra 50% Criollo 50% ,4.0,6.0,Bolivia
73,16,85.79,Café Huancayño,,$5.05/lb,"$20,708.02","World Coffee Co.,Ltd.",Luciano Huanca Flores,1558,Bolivia,2008,"Colonia Chojñapampa, Carrasco La Reserva County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Caturra,3.0,5.0,Bolivia
74,17,85.71,Café Primavera,,$4.00/lb,"$8,994.86","Wataru & Co., Ltd.",Victor Quispe Mamani,1460,Bolivia,2008,Caranavi,Yungas of La Paz,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Criollo 35% Caturra 65% ,3.0,10.0,Bolivia
75,18,85.68,Café Picaflor,,$3.40/lb,"$7,645.63",Katocoffee Inc.,Pablo Luque Huanca,1462,Bolivia,2008,"Colonia Chojñapampa, Carrasco La Reserva County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Caturra 25% Criollo 75% ,3.0,6.0,Bolivia
76,19,84.91,Café Lidia,,$4.00/lb,"$8,465.75","Nippon Coffee Trading Co.,Ltd",Angel Mamani Mamani,1600,Bolivia,2008,"Colonia San Ignacio, Carrasco La Reserva County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Caturra 50% Criollo 50% ,5.0,7.0,Bolivia
