,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
67,14,Guatemala,2016,87.0,Las Mercedes y Anexos (2016),9.25,20646.0,"Nippon Coffee Trading Co.,Ltd","Quilo Ayuso, Jose Luis",,Mataquescuintla,Jalapa,washed,0,1,0,0,0,0,0,0,3,3,0,3,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,16,Guatemala,2016,86.76,Guatalon (2016),8.15,23732.8,"Wataru & Co., Ltd.","Juarez Solares, Guillermo Antonio",,Santa Rosa de Lima,Santa Rosa,washed,0,1,0,0,0,0,0,0,2,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,16,Guatemala,2016,86.76,Rio Arriba (2016),10.2,21624.0,"Time’s Club, Coffee Libre, Proud Mary","De La Cerda Bianchi, Juan Diego",,Palencia,Guatemala,washed,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,18,Guatemala,2016,86.74,San Guayaba (2016),10.2,21981.0,Kaffebrenneriet as,"De La Cerda Bianchi, Juan Diego",,Palencia,Guatemala,washed,0,0,0,0,0,0,0,0,2,2,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71,19,Guatemala,2016,86.71,La Maravilla (2016),9.2,21758.0,MC FOODS LIMITED,"Rosales Vasquez, Mauricio",,La Libertad,Huehuetenango,washed,0,0,0,0,0,0,0,0,4,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,20,Guatemala,2016,86.44,San Antonio de Esquipulas y…,7.1,26830.9,"Wataru & Co., Ltd.","Ovalle Alvarado, Jorge Sergio Tulio",,La Democracia,Huehuetenango,washed,0,0,0,0,0,0,0,0,0,3,0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,1,Guatemala,2017,90.36,El Paraxaj 2017,53.41,20469.38,"Maruyama Coffee, Sugi Coffee Roasting, Sarutahiko Coffee, Difference Coffee Co.(UK)",Ana Lucia Meneses Hernandez,,Chimaltenango,Acatenango,natural,1,1,1,1,0,1,0,0,1,2,1,6,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
74,1,Guatemala,2017,90.36,El Paraxaj 2017,58.0,19180.02,Angel-in-us Coffee,Ana Lucia Meneses Hernandez,,Chimaltenango,Acatenango,natural,1,1,1,1,0,1,0,0,1,2,1,6,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
75,2,Guatemala,2017,90.19,El Injerto I 2017,50.1,29024.43,MOMOS COFFEE,Arturo de Jesus Aguirre Escobar,,La Libertad,Huehuetenango,washed,1,1,1,1,0,1,0,0,4,7,3,11,2,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,2,Guatemala,2017,90.19,El Injerto I 2017,50.7,26825.88,"Maruyama Coffee, Toa Coffee, Sugi Coffee Roasting",Arturo de Jesus Aguirre Escobar,,La Libertad,Huehuetenango,washed,1,1,1,1,0,1,0,0,4,7,3,11,2,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
