,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
176,17,Colombia,2018,87.32,Mirador – El Naranjo,8.1,7500.03,Campos Coffee,Rodrigo Arley Diaz,2.15,Buesaco,Nariño,washed,0,0,0,1,1,0,1,0,4,1,0,3,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
177,18,Colombia,2018,87.24,Villa Martinez,7.5,6944.48,OGAWA COFFEE,Gustavo Ramos,1.55,Gigante,Huila,washed,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
178,19,Colombia,2018,87.21,Cuchilla Loma Gorda,6.5,10102.56,Honu Kato Coffee Inc.,Guillermo Leon Valencia Burbano,1875.0,Buesaco,Nariño,washed,0,0,0,0,0,1,0,0,0,2,0,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
179,20,Colombia,2018,87.12,El Trapiche,9.2,16428.72,InterAmerican Coffee GmbH,Marco Avelio Lasso Muñoz,1.9,San Pedro Cartago,Nariño,honey,1,0,0,0,0,0,1,0,3,3,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
180,21,Colombia,2018,87.03,Buena Vista,7.1,8922.0,Vital Proteins,Edgar Motta Vargas,1.6,Acevedo,Huila,washed,0,1,0,0,0,0,0,1,2,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
181,22,Colombia,2018,87.0,Quijiana,8.1,6964.3,Kyokuto Fadie Corporation,Fernando Garcia Contreras,1750.0,Pital,Huila,washed,0,1,0,1,0,0,0,0,4,4,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
182,23,Colombia,2018,86.97,Casa Blanca,8.1,14464.41,"Wataru & Co., Ltd",Darwin Fernandez Narvaez,1.8,La Unión,Nariño,honey,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
183,24,Colombia,2018,86.94,Altos de la Colina,7.5,7440.53,"Wataru & Co., Ltd",Oscar James Jurado Andrade,1800.0,Buesaco,Nariño,washed,0,0,1,1,0,0,0,0,0,0,2,3,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
184,25,Colombia,2018,86.88,El Salado,6.9,12321.54,Honu Kato Coffee Inc.,Luis Alfredo Lopez Loaiza,2.2,Buesaco,Nariño,washed,0,1,0,0,0,0,0,1,0,3,0,4,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
185,26,Colombia,2018,86.85,El Naranjo,11.9,10625.03,Kyokuto Fadie Corporation,Yilmer Fabian Tunubala,1.9,Inza,Cauca,washed,1,0,0,1,0,0,0,0,1,3,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
186,27,Colombia,2018,86.18,Loma Gorda,7.0,10416.77,Honu Kato Coffee Inc.,Moises Hernando Valencia,1.9,Buesaco,Nariño,washed,0,0,0,0,1,1,0,3,2,2,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
187,1,Colombia,2019,92.71,Mikava,35.1,18571.76,"Maruyama Coffee, Sarutahiko Coffee, Saza Coffee, Adachi Coffee, Harrods, Goodboybob Coffee, Intelligentsia",Paul Kevin Doyle,2000.0,Marsella,Risaralda,natural,1,0,0,0,0,1,0,0,0,2,3,6,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
