,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
121,2,Costa Rica,2018,91.15,Don Antonio – Grupo Los Grandes De Copey S.A.,59.9,31693.69,"Sydney Coffee Business Pty Ltd, June’s Garden Coffee Beijing China, GEE Coffee Shenzhen China",Grupo Los Grandes De Copey S.A.,2100.0,Concepcion de San Rafael de Heredia,Concepcion de San Rafael de Heredia,honey,1,0,0,0,0,1,0,0,0,2,2,7,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,3,Costa Rica,2018,90.59,La Union – Maria Elena Camacho Morales,30.1,11944.58,CAFFE PASCUCCI,Maria Elena Camacho Morales,1500.0,San Ramn,San Rafael,natural,0,0,0,0,0,1,0,0,1,2,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,3,Costa Rica,2018,90.59,La Union – Maria Elena Camacho Morales,30.1,10949.18,Coffee Libre,Maria Elena Camacho Morales,1500.0,San Ramn,San Rafael,natural,0,0,0,0,0,1,0,0,1,2,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,4,Costa Rica,2018,90.41,La Minilla – Sergio Salas Jimenez,70.2,34822.01,"Time’s Club, Coffee Libre, Proud Mary",Sergio Salas Jimenez,1300.0,Naranjo,"Cirri, Lourdes",anaerobic,0,0,0,1,0,1,0,3,3,1,0,6,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125,4,Costa Rica,2018,90.41,La Minilla – Sergio Salas Jimenez,70.29,32542.16,Brew92 Cafe & Roastery,Sergio Salas Jimenez,1300.0,Naranjo,"Cirri, Lourdes",anaerobic,0,0,0,1,0,1,0,3,3,1,0,6,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
126,5,Costa Rica,2018,90.35,Chispita – Carlos Eduardo Barrantes Zuñiga,20.2,10688.02,"MUSEO Co.,Ltd",Carlos Eduardo Barrantes Zuñiga,1500.0,Leon Cortes Llano Bonito,Leon Cortes Llano Bonito,washed,0,0,0,0,0,1,0,0,0,4,2,9,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
127,5,Costa Rica,2018,90.35,Chispita – Carlos Eduardo Barrantes Zuñiga,22.1,11693.33,Caffeine Lab,Carlos Eduardo Barrantes Zuñiga,1500.0,Leon Cortes Llano Bonito,Leon Cortes Llano Bonito,washed,0,0,0,0,0,1,0,0,0,4,2,9,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
128,6,Costa Rica,2018,90.06,Finca La Loma – Luis Pablo Bonilla Solis,26.7,14127.24,"Sydney Coffee Business Pty Ltd, GEE Coffee Shenzhen China, Dutch Barista",Luis Pablo Bonilla Solis,1900.0,"Dota,",Copey,honey,1,0,0,0,0,1,0,0,1,1,2,11,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
129,6,Costa Rica,2018,90.06,Finca La Loma – Luis Pablo Bonilla Solis,26.8,14180.15,Terarosa (Haksan Co.Ltd),Luis Pablo Bonilla Solis,1900.0,"Dota,",Copey,honey,1,0,0,0,0,1,0,0,1,1,2,11,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
130,7,Costa Rica,2018,89.47,Don Dario – Grupo Los Grandes De Copey S.A.,28.42,33834.01,Haru International Corporation,Grupo Los Grandes De Copey S.A.,2000.0,San Ramn,San Rafael,washed,0,0,0,1,0,1,0,0,1,2,0,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131,8,Costa Rica,2018,89.41,El Diamante – Carlos Luis Fernández Morera,18.2,25278.16,Fisher Coffee / Taster’s Coffee / The Fish Tank Cafe / Joker Coffee / SQUARE OF EIGHT / Latorre & Dutch Coffee,Carlos Luis Fernández Morera,1250.0,San Ramn,San Rafael,anaerobic,0,0,0,0,1,0,0,3,3,2,0,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
132,9,Costa Rica,2018,89.35,Finca La Pastora – Maria Cecilia Solís Moreno,10.11,10698.6,M.I. COFFEE CORPORATION,Maria Cecilia Solís Moreno,1850.0,Tarrazu San Marcos,Tarrazu San Marcos,honey,0,1,0,0,0,0,0,0,3,3,0,5,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
133,10,Costa Rica,2018,89.0,Santa Teresa – Roger Ureña Hidalgo,13.2,14841.55,"THE DRIP CO., LTD.",Roger Ureña Hidalgo,2000.0,Santa Mara de Dota,Santa Mara de Dota,washed,0,0,0,1,0,0,0,0,3,3,0,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
134,11,Costa Rica,2018,88.85,Flor De Cafe – Carlos Eduardo Barrantes Zuñiga,20.2,19372.0,Terarosa (Haksan Co.Ltd),Carlos Eduardo Barrantes Zuñiga,1500.0,Naranjo,"Cirri, Lourdes",honey,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,12,Costa Rica,2018,88.71,Finca El Cedral – Hector Bonilla Cruz,12.0,12698.64,Ryans Coffee Roasters,Hector Bonilla Cruz,1850.0,Tarrazu San Marcos,Tarrazu San Marcos,honey,0,1,0,1,1,1,0,0,2,0,0,9,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
136,13,Costa Rica,2018,88.65,Finca Las Cruces – Juan Ramon Alvarado Rodriguez,11.0,8002.83,"THE DRIP CO., LTD. with GAE ROCK",Juan Ramon Alvarado Rodriguez,1250.0,Heredia,San Isidro San Francisco,honey,0,0,0,0,0,0,0,2,4,1,0,9,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,14,Costa Rica,2018,88.59,Leoncio – Manuel Antonio Barrantes Zuñiga,9.7,14755.54,"Linking Coffee Co., Ltd.",Manuel Antonio Barrantes Zuñiga,1600.0,Naranjo,"Cirri, Lourdes",washed,0,1,0,0,0,0,0,0,1,1,1,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,15,Costa Rica,2018,88.59,Divino Niño – Mauricio Vindas Vargas,15.1,15979.12,Brew92 Cafe & Roastery,Mauricio Vindas Vargas,1500.0,"Naranjo,","Cirri, Lourdes",natural,0,0,0,0,0,1,0,0,0,3,0,7,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
139,16,Costa Rica,2018,88.59,Finca La Torre – Arnaldo Barrantes Zuñiga,16.0,16931.52,Caffeine Lab,Arnaldo Barrantes Zuñiga,1850.0,San Pablo de Len Corts,San Pablo de Len Corts,natural,0,0,0,0,0,0,0,0,2,0,1,4,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
140,17,Costa Rica,2018,88.53,Trinidad – Luis Alberto Monge Ureña,8.9,9418.16,"GSC International Co., Ltd.",Luis Alberto Monge Ureña ,1600.0,Lourdes de Cirri de Naranjo,"La Trinidad,",honey,0,1,0,1,1,0,0,0,1,1,0,9,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
141,18,Costa Rica,2018,88.38,El Centro – Teneria Pirro Antonio Gomez Ltda,17.9,18942.14,"Cuppers Cooperative,
AG COFFEE,
Woojongho Coffee,
Santorini Coffee,
Sweet Step Coffee,
Sewoong GC,
CAFE Q",Teneria Pirro Antonio Gomez Ltda,1600.0,"Heredia,",San Isidro San Francisco,natural,0,1,0,0,1,1,0,1,6,2,0,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
